"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2015,1,"Ciutat Vella",1,"el Raval","Total. Milers d'euros",193.8
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Milers d'euros",386.3
2015,1,"Ciutat Vella",3,"la Barceloneta","Total. Milers d'euros",150.3
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Milers d'euros",248.7
2015,2,"Eixample",5,"el Fort Pienc","Total. Milers d'euros",351.2
2015,2,"Eixample",6,"la Sagrada Família","Total. Milers d'euros",211.7
2015,2,"Eixample",7,"la Dreta de l'Eixample","Total. Milers d'euros",388
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Milers d'euros",334
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Milers d'euros",265.5
2015,2,"Eixample",10,"Sant Antoni","Total. Milers d'euros",235.5
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Milers d'euros",143
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Milers d'euros",NA
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Milers d'euros",139.2
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Milers d'euros",174.5
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Milers d'euros",169.5
2015,3,"Sants-Montjuïc",16,"la Bordeta","Total. Milers d'euros",191.9
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Milers d'euros",115.9
2015,3,"Sants-Montjuïc",18,"Sants","Total. Milers d'euros",166.6
2015,4,"Les Corts",19,"les Corts","Total. Milers d'euros",281.7
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Milers d'euros",302.6
2015,4,"Les Corts",21,"Pedralbes","Total. Milers d'euros",793.5
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Milers d'euros",309.5
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Milers d'euros",607.7
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Milers d'euros",651.2
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Milers d'euros",513.6
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Milers d'euros",551
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Milers d'euros",360
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Milers d'euros",252.2
2015,6,"Gràcia",29,"el Coll","Total. Milers d'euros",158
2015,6,"Gràcia",30,"la Salut","Total. Milers d'euros",221.7
2015,6,"Gràcia",31,"la Vila de Gràcia","Total. Milers d'euros",311.9
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total. Milers d'euros",276.4
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Total. Milers d'euros",225.7
2015,7,"Horta-Guinardó",34,"Can Baró","Total. Milers d'euros",129.1
2015,7,"Horta-Guinardó",35,"el Guinardó","Total. Milers d'euros",173.1
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total. Milers d'euros",234.8
2015,7,"Horta-Guinardó",37,"el Carmel","Total. Milers d'euros",117.2
2015,7,"Horta-Guinardó",38,"la Teixonera","Total. Milers d'euros",101.1
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Total. Milers d'euros",190.7
2015,7,"Horta-Guinardó",40,"Montbau","Total. Milers d'euros",101.6
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Total. Milers d'euros",174.6
2015,7,"Horta-Guinardó",42,"la Clota","Total. Milers d'euros",118.3
2015,7,"Horta-Guinardó",43,"Horta","Total. Milers d'euros",152.2
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Total. Milers d'euros",138.7
2015,8,"Nou Barris",45,"Porta","Total. Milers d'euros",134.8
2015,8,"Nou Barris",46,"el Turó de la Peira","Total. Milers d'euros",96.7
2015,8,"Nou Barris",47,"Can Peguera","Total. Milers d'euros",80.5
2015,8,"Nou Barris",48,"la Guineueta","Total. Milers d'euros",151.8
2015,8,"Nou Barris",49,"Canyelles","Total. Milers d'euros",123.6
2015,8,"Nou Barris",50,"les Roquetes","Total. Milers d'euros",59.6
2015,8,"Nou Barris",51,"Verdun","Total. Milers d'euros",101.8
2015,8,"Nou Barris",52,"la Prosperitat","Total. Milers d'euros",106.6
2015,8,"Nou Barris",53,"la Trinitat Nova","Total. Milers d'euros",64.3
2015,8,"Nou Barris",54,"Torre Baró","Total. Milers d'euros",NA
2015,8,"Nou Barris",55,"Ciutat Meridiana","Total. Milers d'euros",60.2
2015,8,"Nou Barris",56,"Vallbona","Total. Milers d'euros",145.2
2015,9,"Sant Andreu",57,"la Trinitat Vella","Total. Milers d'euros",138.9
2015,9,"Sant Andreu",58,"Baró de Viver","Total. Milers d'euros",261.8
2015,9,"Sant Andreu",59,"el Bon Pastor","Total. Milers d'euros",113.8
2015,9,"Sant Andreu",60,"Sant Andreu","Total. Milers d'euros",158
2015,9,"Sant Andreu",61,"la Sagrera","Total. Milers d'euros",179.6
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Total. Milers d'euros",151.4
2015,9,"Sant Andreu",63,"Navas","Total. Milers d'euros",241.5
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Total. Milers d'euros",234.5
2015,10,"Sant Martí",65,"el Clot","Total. Milers d'euros",294.2
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Total. Milers d'euros",196.5
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Total. Milers d'euros",383.8
2015,10,"Sant Martí",68,"el Poblenou","Total. Milers d'euros",252.2
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Total. Milers d'euros",590.3
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Total. Milers d'euros",155.8
2015,10,"Sant Martí",71,"Provençals del Poblenou","Total. Milers d'euros",351.5
