Year,Month,District,Neighborhood,Price
2020,01,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,1036962.9629629629
2020,07,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,900434.7826086957
2020,08,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,1164117.6470588236
2020,02,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,802360.0
2020,05,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,992606.0606060605
2020,10,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,1141000.0
2020,12,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,1198416.6666666667
2020,09,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,896545.4545454546
2020,11,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,787000.0
2020,06,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,1066000.0
2021,02,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,735000.0
2020,05,Sarrià-Sant Gervasi,El Putxet i el Farró,521139.5348837209
2020,11,Sarrià-Sant Gervasi,El Putxet i el Farró,483080.0
2020,07,Sarrià-Sant Gervasi,El Putxet i el Farró,563743.5897435897
2020,02,Sarrià-Sant Gervasi,El Putxet i el Farró,525619.0476190476
2020,08,Sarrià-Sant Gervasi,El Putxet i el Farró,589133.3333333334
2020,12,Sarrià-Sant Gervasi,El Putxet i el Farró,596500.0
2020,10,Sarrià-Sant Gervasi,El Putxet i el Farró,403000.0
2020,01,Sarrià-Sant Gervasi,El Putxet i el Farró,710000.0
2020,06,Sarrià-Sant Gervasi,El Putxet i el Farró,800000.0
2020,09,Sarrià-Sant Gervasi,El Putxet i el Farró,677928.5714285715
2020,01,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo i les Planes,564922.2222222222
2020,03,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo i les Planes,1300000.0
2020,06,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo i les Planes,694000.0
2020,05,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo i les Planes,729750.0
2020,08,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo i les Planes,199000.0
2020,11,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo i les Planes,199000.0
2020,02,Sarrià-Sant Gervasi,Sarrià,850227.2727272727
2020,08,Sarrià-Sant Gervasi,Sarrià,866250.0
2020,12,Sarrià-Sant Gervasi,Sarrià,859250.0
2020,09,Sarrià-Sant Gervasi,Sarrià,886750.0
2020,01,Sarrià-Sant Gervasi,Sarrià,1225714.2857142857
2020,03,Sarrià-Sant Gervasi,Sarrià,961250.0
2020,10,Sarrià-Sant Gervasi,Sarrià,845000.0
2020,11,Sarrià-Sant Gervasi,Sarrià,961250.0
2020,04,Sarrià-Sant Gervasi,Sarrià,1061666.6666666667
2020,01,Les Corts,La Maternitat i Sant Ramon,434875.0
2020,12,Les Corts,La Maternitat i Sant Ramon,382589.3153526971
