Year,District,Neighborhood,RFD
2011,Sarrià-Sant Gervasi,Les Tres Torres,216.4
2016,Sarrià-Sant Gervasi,Les Tres Torres,211.0
2010,Sarrià-Sant Gervasi,Les Tres Torres,225.8
2017,Sarrià-Sant Gervasi,Les Tres Torres,215.8
2007,Sarrià-Sant Gervasi,Les Tres Torres,215.3
2012,Sarrià-Sant Gervasi,Les Tres Torres,215.0
2009,Sarrià-Sant Gervasi,Les Tres Torres,222.6
2008,Sarrià-Sant Gervasi,Les Tres Torres,214.7
2014,Sarrià-Sant Gervasi,Les Tres Torres,217.8
2015,Sarrià-Sant Gervasi,Les Tres Torres,214.1
2013,Sarrià-Sant Gervasi,Les Tres Torres,224.0
2011,Les Corts,Les Corts,126.9
2017,Les Corts,Les Corts,120.0
2014,Les Corts,Les Corts,125.4
2015,Les Corts,Les Corts,124.5
2009,Les Corts,Les Corts,128.9
2016,Les Corts,Les Corts,119.9
2010,Les Corts,Les Corts,131.7
2007,Les Corts,Les Corts,130.4
2013,Les Corts,Les Corts,124.8
2008,Les Corts,Les Corts,131.7
2012,Les Corts,Les Corts,129.6
2016,Sant Martí,Sant Martí de Provençals,68.7
2007,Sant Martí,Sant Martí de Provençals,81.5
2011,Sant Martí,Sant Martí de Provençals,65.0
2015,Sant Martí,Sant Martí de Provençals,68.3
2010,Sant Martí,Sant Martí de Provençals,74.9
2008,Sant Martí,Sant Martí de Provençals,80.3
2013,Sant Martí,Sant Martí de Provençals,66.2
2009,Sant Martí,Sant Martí de Provençals,76.6
2017,Sant Martí,Sant Martí de Provençals,67.4
2014,Sant Martí,Sant Martí de Provençals,67.6
2012,Sant Martí,Sant Martí de Provençals,63.5
2015,Sant Martí,El Camp de l'Arpa del Clot,78.7
2014,Sant Martí,El Camp de l'Arpa del Clot,80.9
2012,Sant Martí,El Camp de l'Arpa del Clot,81.2
2011,Sant Martí,El Camp de l'Arpa del Clot,82.3
2016,Sant Martí,El Camp de l'Arpa del Clot,82.7
2008,Sant Martí,El Camp de l'Arpa del Clot,92.4
2013,Sant Martí,El Camp de l'Arpa del Clot,76.5
2009,Sant Martí,El Camp de l'Arpa del Clot,89.2
2010,Sant Martí,El Camp de l'Arpa del Clot,84.6
2017,Sant Martí,El Camp de l'Arpa del Clot,81.7
2007,Sant Martí,El Camp de l'Arpa del Clot,93.4
2011,Sant Martí,el Poblenou,89.2
2010,Sant Martí,el Poblenou,86.3
2017,Sant Martí,el Poblenou,99.9
2007,Sant Martí,el Poblenou,94.5
2013,Sant Martí,el Poblenou,89.6
2015,Sant Martí,el Poblenou,95.6
2008,Sant Martí,el Poblenou,93.6
