District,Price,RFD
El Poble Sec - Parc de Montjuïc,291668.8319783198,73.0
L'Antiga Esquerra de l'Eixample,739265.0263157894,126.95454545454545
La Bordeta,283305.78072289156,75.61818181818181
Porta,182958.33333333334,65.69999999999999
El Putxet i el Farró,631313.2530120482,143.84545454545454
La Salut,482928.5714285714,112.22727272727273
El Camp d'En Grassot i Gràcia Nova,545484.2105263158,102.44545454545455
La Sagrada Família,405625.0,97.54545454545455
El Guinardó,301909.0909090909,85.58181818181818
El Baix Guinardó,330974.358974359,90.95454545454545
Ciutat Meridiana - Torre Baró - Vallbona,117250.0,44.45454545454545
El Congrés i els Indians,320000.0,75.74545454545454
Sant Gervasi - La Bonanova,1642688.0952380951,186.79090909090908
La Maternitat i Sant Ramon,408459.7446236559,118.24545454545455
Sants - Badal,252820.39208633095,79.12727272727273
Sant Antoni,522389.4736842105,99.94545454545455
Sarrià,1767479.0697674418,185.66363636363633
El Fort Pienc,420000.0,104.5
Sant Andreu,368950.0,79.31818181818181
Vilapicina i la Torre Llobeta,333500.0,72.43636363636364
Navas,309000.0,83.12727272727273
