year,idDistrict,idNeighborhood,RFD,pop,Nou. Euros/m2 construït,Nou. Milers d'euros,Total. Euros/m2 construït,Total. Milers d'euros,Usat. Euros/m2 construït,Usat. Milers d'euros,kpi
2016,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,187.5,25761,5755.1,730.2,4977.6,643.3,4795.9,623,0.0377
2014,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,191.8,25378,4433.3,650.9,3714.6,528.7,3414.2,477.6,0.0516
2017,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,184.6,25909,4481.2,474.7,5003.2,612.3,5081.1,632.9,0.0369
2015,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,188.9,25511,3657.4,483.6,3860.1,513.6,3916.1,521.9,0.0489
2013,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,189.6,25251,3576.6,429.5,3550.4,462,3533.1,483.4,0.0534
2016,Sarrià-Sant Gervasi,Les Tres Torres,211.0,16486,4874.8,520.9,4729.1,680.4,4712.2,698.9,0.0446
2015,Sarrià-Sant Gervasi,Les Tres Torres,214.1,16624,3856.5,832.9,4591.9,651.2,4608.1,647.2,0.0466
2017,Sarrià-Sant Gervasi,Les Tres Torres,215.8,16660,5001.9,634.8,5649.1,805.7,5688.5,816.1,0.0382
2014,Sarrià-Sant Gervasi,Les Tres Torres,217.8,16381,3012.6,495.3,4127.2,570.7,4166.6,573.3,0.0528
2013,Sarrià-Sant Gervasi,Les Tres Torres,224.0,16087,3175.6,430.7,4293.9,648.5,4517.5,692.1,0.0522
2015,Sant Andreu,Navas,85.8,22110,1731.1,100,2728.8,241.5,2758.4,245.7,0.0314
2017,Sant Andreu,Navas,81.6,22171,5144,289.4,3947.2,350.3,3871.5,354.2,0.0207
2013,Sant Andreu,Navas,75.4,21792,3356.8,211,2767.4,256.2,2678.9,262.9,0.0272
2016,Sant Andreu,Navas,84.3,22097,3031.5,262.7,3088,262.4,3095.6,262.4,0.0273
2014,Sant Andreu,Navas,83.3,21949,1660.9,109.6,2666.5,261.1,2797.6,280.9,0.0312
2017,Gràcia,Vila de Gràcia,104.4,50885,4945.8,483.2,4570.6,432.2,4552.9,429.8,0.0228
2015,Gràcia,Vila de Gràcia,106.3,50584,3514.7,511,3315.1,311.9,3297.6,294.5,0.0321
2016,Gràcia,Vila de Gràcia,101.5,50670,3526.1,337.2,3703.6,311,3712.6,309.7,0.0274
2013,Gràcia,Vila de Gràcia,109.5,50730,5514.3,1059.2,3416.8,359,3336.8,332.3,0.032
2014,Gràcia,Vila de Gràcia,118.1,50680,3924.3,493.5,3202.9,282.2,3181.6,276,0.0369
2017,Sants-Montjuïc,Hostafrancs,99.0,15949,NA,NA,3276.3,263.3,3270.9,263,0.0302
2014,Sants-Montjuïc,Hostafrancs,76.8,15919,NA,NA,2174.8,142.6,2174.8,142.6,0.0353
2015,Sants-Montjuïc,Hostafrancs,82.2,15812,2029.6,111.3,2479.1,169.5,2505.2,172.8,0.0332
2016,Sants-Montjuïc,Hostafrancs,84.6,15915,2356.2,119.7,2474,199.1,2477.9,201.7,0.0342
